StopID;DIVA;StopText;Municipality;MunicipalityID;Longitude;Latitude
3447;60201919;Bruno-Marek-Allee;Wien;49000001;16.3926010;48.2285202
3448;60201918;Krakauer Straße;Wien;49000001;16.3930861;48.2245704
3449;60200941;Nordbahnstraße;Wien;49000001;16.3899780;48.2237924
3704;60200786;Liechtenwerder Platz;Wien;49000001;16.3565067;48.2324935
3708;60201570;Marsanogasse;Wien;49000001;16.3509192;48.2309138
3709;60200950;Nußdorfer Straße U;Wien;49000001;16.3543957;48.2314164
4703;60209999;Raffaleg. / Wallensteinpl.;Wien;49000001;16.3724608;48.2306026
4708;60202503;Anastasius-Grün-Gasse;Wien;49000001;16.3497514;48.2298846
4711;60200602;Lorenz-Bayer-Platz;Wien;49000001;16.3258832;48.2143655
4717;60201186;Peitlgasse;Wien;49000001;16.3998864;48.2623857
6002;;Bahnhof Floridsdorf;;;0000000000;0000000000
6003;60202920;Bahnhof Brigittenau;Wien;49000001;16.3666757;48.2359760
6004;60202918;Bahnhof Gürtel;Wien;49000001;16.3500299;48.2309258
6006;;Bahnhof Ottakring;;;0000000000;0000000000
6008;60202915;Bahnhof Rudolfsheim;Wien;49000001;16.3223168;48.1901948
6024;60200067;Bahnhof Rudolfsheim (Bedarf);Wien;49000001;16.3226762;48.1905900
6403;60201470;Bahnhof Brigittenau Kurzführung;Wien;49000001;16.3656246;48.2359820
6502;60202921;Bahnhof Floridsdorf;Wien;49000001;16.3994013;48.2630674
6503;;Bahnhof Brigittenau;;;0000000000;0000000000
6504;;Bahnhof Gürtel;;;0000000000;0000000000
6506;;Bahnhof Ottakring;;;0000000000;0000000000
6508;;Bahnhof Rudolfsheim;;;0000000000;0000000000
7008;;Bhf.Rdh. / Halle III - A;;;0000000000;0000000000
7531;60201470;Wexstraße (Bedarf);Wien;49000001;16.3676728;48.2359760
7550;;Baumgarten (Sprsp.);;;0000000000;0000000000
